params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",99.85727000000043,100,-0.019179634198441275,-0.02,-0.022784090909090907,-0.01544642857142857,0.0012310546922582385
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",77.99491599999965,100,-0.019043808736391984,-0.02,-0.02352517985611511,-0.01529953917050691,0.001507667596248815
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",84.96965300000011,100,-0.019670569396819434,-0.02,-0.022207207207207206,-0.01643356643356643,0.0009176749577876017
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",77.36145800000031,100,-0.019371834680401087,-0.02,-0.02640522875816993,-0.012916666666666667,0.0020314012822887444
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",84.56169300000056,100,-0.020958218689012882,-0.02,-0.03180722891566265,-0.02,0.00208532456384293
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",82.99985199999992,100,-0.021587200218306412,-0.021049347969390383,-0.039599999999999996,-0.02,0.0026698555078106347
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",86.68705999999929,100,-0.020279861810967345,-0.02,-0.023426573426573425,-0.02,0.0007012909539759346
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",78.01445499999954,100,-0.020170332465205876,-0.02,-0.024317180616740087,-0.018893709327548806,0.0006541959902351535
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",77.79672699999992,100,-0.020267323462569774,-0.02,-0.030652173913043475,-0.015188679245283016,0.0019640803317398183
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",61.721488999999565,100,-0.019563225038866195,-0.01893074241911451,-0.03306666666666667,-0.015584415584415583,0.0022922234452986295
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",66.47931400000016,100,-0.01928978693404661,-0.02,-0.02271468144044321,-0.01532110091743119,0.0012554132725084493
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",58.28607499999998,100,-0.01957471891026698,-0.018819918418474683,-0.02662162162162162,-0.013855421686746987,0.0023351174422972325
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",64.54780500000015,100,-0.019565339878100226,-0.02,-0.023062499999999996,-0.016,0.0011458189700479687
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",63.096300000000156,100,-0.019269312757030924,-0.02,-0.022934131736526947,-0.010973451327433626,0.0017155667822516321
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",75.7448800000002,100,-0.021396524857184015,-0.02,-0.03441176470588235,-0.02,0.0028336374509167405
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",66.9330289999998,100,-0.021130524626689486,-0.02,-0.04279069767441861,-0.02,0.003059213156572416
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",75.29104599999937,100,-0.020209379805370183,-0.02,-0.02327759197324415,-0.02,0.000616643566071717
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",58.439250999999786,100,-0.020204251429208626,-0.02,-0.024279475982532748,-0.01735064935064935,0.0008175278977940908
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",55.32006999999976,100,-0.020325654593387997,-0.02,-0.023798449612403103,-0.015211267605633799,0.0014433914077712918
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",52.110239999999976,100,-0.01917769004058516,-0.01948640483383686,-0.023192182410423454,-0.014659685863874342,0.0017134131803246892
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",50.80779600000005,100,-0.019269101565372766,-0.019485368314833502,-0.023712121212121212,-0.013245033112582781,0.0016324576996999802
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",52.75401800000054,100,-0.019427382549829807,-0.02,-0.024516129032258062,-0.01358490566037736,0.0015285452089523804
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",45.88990300000023,100,-0.019285712377944145,-0.01884024676865955,-0.02410041841004184,-0.012093023255813955,0.0020644683873683374
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",50.42941300000075,100,-0.019422412031301108,-0.02,-0.024117647058823532,-0.014603174603174602,0.0018718249498347725
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",61.10504399999991,100,-0.020793482797101925,-0.02,-0.028099173553719006,-0.02,0.0014429695948731756
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",62.85800599999948,100,-0.020413356096025438,-0.02,-0.027368421052631584,-0.02,0.0011393909401439
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",63.61550299999999,100,-0.020497509921770903,-0.02,-0.029607843137254897,-0.02,0.0013507912845298065
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",73.32542000000012,100,-0.02001320754716981,-0.02,-0.02132075471698113,-0.02,0.00013141343508955348
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",75.37084400000003,100,-0.02011203041115239,-0.02,-0.02445454545454545,-0.01845921450151057,0.0006170764497888006
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",64.44080600000052,100,-0.019582804146323848,-0.02,-0.023487544483985764,-0.015545851528384278,0.0014027447471708313
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",73.3605379999999,100,-0.019677272559700268,-0.02,-0.02573099415204678,-0.014486486486486485,0.0014942326745093033
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",76.24312700000064,100,-0.01992344054445232,-0.02,-0.023951612903225804,-0.014659685863874342,0.0011064760144362125
